 Water (kg/m3),Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Slag (kg/m3),Fly ash (kg/m3),SP (kg/m3),Strength (MPa)
0.504423792,0.37952381,0.692847896,0.392051282,0.01,0.552424242,0.174519691,0.27383311
0.645687732,0.714761905,0.692847896,0.392051282,0.143879781,0.01,0.191450129,0.39085676
0.638252788,0.615714286,0.692847896,0.392051282,0.277759563,0.01,0.19034597,0.377804552
0.6233829,0.423333333,0.692847896,0.392051282,0.540054645,0.01,0.188505705,0.341659973
0.637657993,0.278038095,0.616796117,0.771538462,0.093825137,0.195909091,0.1204159,0.196746988
0.60063197,0.297333333,0.616796117,0.771538462,0.097759563,0.204666667,0.145811557,0.264796966
0.455799257,0.372838095,0.616796117,0.771538462,0.113251366,0.239,0.274262054,0.493489514
0.51929368,0.786819048,0.613762136,0.495897436,0.339125683,0.01,0.254019139,0.632155288
0.51929368,0.545904762,0.613762136,0.495897436,0.65726776,0.01,0.249602503,0.671869701
0.407769517,0.269047619,0.783462783,0.452307692,0.392513661,0.161515152,0.17194332,0.378920125
0.437509294,0.307142857,0.77618123,0.452307692,0.337868852,0.161515152,0.17194332,0.395319054
0.444944238,0.345238095,0.775372168,0.452307692,0.283224044,0.161515152,0.17194332,0.449982151
0.444944238,0.402380952,0.776990291,0.452307692,0.201256831,0.161515152,0.17194332,0.478429273
0.444944238,0.25,0.749482201,0.452307692,0.392513661,0.252424242,0.180040486,0.394203481
0.407769517,0.288095238,0.760809061,0.452307692,0.337868852,0.252424242,0.180040486,0.4051361
0.444944238,0.345238095,0.751909385,0.452307692,0.255901639,0.252424242,0.180040486,0.447751004
0.422639405,0.25,0.742200647,0.452307692,0.556448087,0.161515152,0.192186235,0.458683623
0.407769517,0.630952381,0.734919094,0.452307692,0.283224044,0.01,0.1940265,0.579053994
0.392899628,0.392857143,0.732491909,0.452307692,0.624754098,0.01,0.1940265,0.581173583
0.407769517,0.392857143,0.70012945,0.452307692,0.351530055,0.313030303,0.1940265,0.449982151
0.496988848,0.463333333,0.608705502,0.527948718,0.578306011,0.01,0.39277512,0.760557787
0.496988848,0.463333333,0.608705502,0.506153846,0.436229508,0.167575758,0.37437247,0.727759929
0.496988848,0.463333333,0.608705502,0.485641026,0.294153005,0.325151515,0.35596982,0.628250781
0.496988848,0.463333333,0.608705502,0.463846154,0.152076503,0.482727273,0.35596982,0.57793842
0.496988848,0.463333333,0.608705502,0.442051282,0.01,0.64030303,0.37437247,0.493712628
0.175799257,0.227142857,0.746245955,0.56,0.01,0.57969697,0.245185867,0.251967871
0.251635688,0.297619048,0.681521036,0.540769231,0.01,0.691818182,0.225311005,0.346903168
0.392899628,0.383333333,0.70579288,0.503589744,0.255901639,0.282727273,0.150964299,0.478987059
0.407769517,0.349047619,0.722783172,0.506153846,0.239508197,0.264545455,0.133665808,0.431017403
0.333420074,0.265238095,0.737346278,0.501025641,0.294153005,0.322121212,0.150228193,0.340655957
0.482118959,0.455714286,0.605469256,0.698461538,0.206721311,0.103939394,0.175991903,0.36698349
0.392899628,0.337619048,0.696893204,0.492051282,0.38431694,0.231212121,0.211324991,0.406363231
0.314832714,0.297619048,0.746245955,0.521538462,0.01,0.464545455,0.189241811,0.444627398
0.314832714,0.383333333,0.713883495,0.476666667,0.01,0.555454545,0.225311005,0.504645248
0.651635688,0.882380952,0.033462783,0.676666667,0.01,0.188787879,0.16090173,0.635167336
0.651635688,0.77,0.081197411,0.676666667,0.01,0.367575758,0.16090173,0.574926372
0.651635688,0.655714286,0.128932039,0.676666667,0.01,0.546363636,0.16090173,0.511338688
0.682118959,0.577619048,0.018899676,0.676666667,0.01,0.134242424,0.01,0.37746988
0.682118959,0.230952381,0.08605178,0.676666667,0.01,0.385757576,0.01,0.2759527
0.682118959,0.375714286,0.01,0.676666667,0.01,0.100909091,0.01,0.17778224
0.682118959,0.32047619,0.033462783,0.676666667,0.01,0.188787879,0.01,0.137621598
0.682118959,0.263333333,0.057734628,0.676666667,0.01,0.27969697,0.01,0.095229808
0.682118959,0.77,0.433139159,0.676666667,0.332404372,0.01,0.01,0.624011602
0.682118959,0.545238095,0.425048544,0.676666667,0.657540984,0.01,0.01,0.613971441
0.682118959,0.577619048,0.556925566,0.676666667,0.122021858,0.01,0.01,0.428786256
0.682118959,0.49952381,0.55368932,0.676666667,0.236775956,0.01,0.01,0.452213298
0.682118959,0.341428571,0.54802589,0.676666667,0.463551913,0.01,0.01,0.445519857
0.682118959,0.375714286,0.645113269,0.676666667,0.091967213,0.01,0.01,0.23021419
0.682118959,0.206190476,0.638640777,0.676666667,0.332404372,0.01,0.01,0.227983043
0.679144981,0.77,0.425857605,0.676666667,0.171202186,0.188787879,0.023986014,0.559308344
0.679144981,0.657619048,0.411294498,0.676666667,0.171202186,0.367575758,0.025826279,0.512454261
0.678401487,0.432857143,0.413721683,0.676666667,0.657540984,0.188787879,0.026562385,0.522494422
0.678401487,0.32047619,0.399158576,0.676666667,0.657540984,0.367575758,0.026562385,0.473409192
0.682118959,0.421428571,0.541553398,0.676666667,0.122021858,0.261515152,0.01,0.406474788
0.682118959,0.263333333,0.543171521,0.676666667,0.463551913,0.134242424,0.01,0.417630522
0.682118959,0.185238095,0.532653722,0.676666667,0.463551913,0.261515152,0.01,0.364082999
0.682118959,0.32047619,0.673430421,0.676666667,0.091967213,0.100909091,0.01,0.239138777
0.682118959,0.263333333,0.693656958,0.676666667,0.091967213,0.188787879,0.01,0.201209282
0.682118959,0.150952381,0.732491909,0.676666667,0.332404372,0.100909091,0.01,0.216827309
0.296245353,0.566190476,0.649967638,0.648461538,0.01,0.285757576,0.178200221,0.461584114
0.296245353,0.478571429,0.637831715,0.648461538,0.01,0.425151515,0.178200221,0.454667559
0.296245353,0.390952381,0.625695793,0.648461538,0.01,0.564545455,0.178200221,0.442284694
0.296245353,0.305238095,0.614368932,0.648461538,0.01,0.703939394,0.178200221,0.309419902
0.296245353,0.217619048,0.60223301,0.648461538,0.01,0.84030303,0.178200221,0.244939759
0.333420074,0.41,0.734110032,0.648461538,0.01,0.225151515,0.01,0.383493976
0.333420074,0.343333333,0.724401294,0.648461538,0.01,0.334242424,0.01,0.339428826
0.333420074,0.208095238,0.70579288,0.648461538,0.01,0.549393939,0.01,0.222628291
0.333420074,0.13952381,0.696893204,0.648461538,0.01,0.655454545,0.01,0.16394913
0.333420074,0.072857143,0.686375405,0.648461538,0.01,0.764545455,0.01,0.078161535
0.333420074,0.312857143,0.78184466,0.648461538,0.01,0.185757576,0.01,0.294136546
0.333420074,0.257619048,0.773754045,0.648461538,0.01,0.273636364,0.01,0.234341812
0.333420074,0.202380952,0.766472492,0.648461538,0.01,0.361515152,0.01,0.203328871
0.333420074,0.09,0.750291262,0.648461538,0.01,0.54030303,0.01,0.082623829
0.333420074,0.034761905,0.743009709,0.648461538,0.01,0.628181818,0.01,0.038781794
0.333420074,0.244285714,0.81420712,0.648461538,0.01,0.158484848,0.01,0.207010263
0.333420074,0.150952381,0.801262136,0.648461538,0.01,0.306969697,0.01,0.14085676
0.333420074,0.103333333,0.794789644,0.648461538,0.01,0.382727273,0.01,0.08552432
0.333420074,0.055714286,0.788317152,0.648461538,0.01,0.458484848,0.01,0.052280232
0.333420074,0.01,0.78184466,0.648461538,0.01,0.531212121,0.01,0.01
0.452379182,0.44047619,0.746245955,0.489487179,0.01,0.237272727,0.148019875,0.383270861
0.311115242,0.297619048,0.746245955,0.521538462,0.01,0.464545455,0.189609864,0.444627398
